4.0000e+02,2.4625e-07
4.1000e+02,3.6162e-07
4.2000e+02,8.0421e-07
4.3000e+02,1.9434e-06
4.4000e+02,3.6827e-06
4.5000e+02,5.4598e-06
4.6000e+02,6.3416e-06
4.7000e+02,5.6217e-06
4.8000e+02,4.0521e-06
4.9000e+02,2.4870e-06
5.0000e+02,1.9567e-06
5.1000e+02,2.9340e-06
5.2000e+02,5.1580e-06
5.3000e+02,8.5912e-06
5.4000e+02,1.3142e-05
5.5000e+02,1.8613e-05
5.6000e+02,2.4724e-05
5.7000e+02,3.1308e-05
5.8000e+02,3.8175e-05
5.9000e+02,4.5008e-05
6.0000e+02,5.1210e-05
6.1000e+02,5.6022e-05
6.2000e+02,5.9081e-05
6.3000e+02,6.0028e-05
6.4000e+02,5.8831e-05
6.5000e+02,5.5881e-05
6.6000e+02,5.1461e-05
6.7000e+02,4.6148e-05
6.8000e+02,4.0456e-05
6.9000e+02,3.4902e-05
7.0000e+02,2.9626e-05
7.1000e+02,2.4840e-05
7.2000e+02,2.0584e-05
7.3000e+02,1.6924e-05
7.4000e+02,1.3820e-05
7.5000e+02,1.1220e-05
7.6000e+02,9.0582e-06
7.7000e+02,7.3111e-06
7.8000e+02,5.8802e-06
7.9000e+02,4.7432e-06
8.0000e+02,3.8347e-06
